bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,gpt_categories,gpt_bill_type,gpt_reason
hr3216-112,112,2011-10-14,Armed Forces and National Security,"Department of Veterans Affairs|Executive agency funding and structure|Hearing, speech, and vision care|Veterans' medical care","To amend title 38, United States Code, to establish an ophthalmologic service and Director of Ophthalmologic Services in the Veterans Health Administration of the Department of Veterans Affairs.",VHA Ophthalmologic Service Establishment Act of 2011,,,"The bill establishes an ophthalmologic service within the Veterans Health Administration, which pertains to government healthcare services for veterans, not private employer wage or benefit obligations."
s1055-112,112,2011-05-24,Taxation,"Education of the disadvantaged|Elementary and secondary education|Income tax credits|Science and engineering education|Student aid and college costs|Teaching, teachers, curricula","A bill to amend the Internal Revenue Code of 1986 to encourage teachers to pursue teaching science, technology, engineering, and mathematics subjects at elementary and secondary schools.",National STEM Education Tax Incentive for Teachers Act of 2011,,,"The bill provides a tax credit for teachers, which does not relate to private employer wage or benefit obligations."
hr5275-110,110,2008-02-07,Foreign Trade and International Finance,Tariff,"To suspend temporarily the duty on Liberty, Rely, and Ignite herbicides.",,,,"The bill addresses tariff suspension on herbicides, unrelated to private employer wage or benefit obligations."
s3266-112,112,2012-06-06,Education,"Budget deficits and national debt|Congressional oversight|Government lending and loan guarantees|Higher education|Interest, dividends, interest rates|Student aid and college costs",A bill to amend the Higher Education Act of 1965 to reset interest rates for new student loans.,Comprehensive Student Loan Protection Act,,,"The bill addresses student loan interest rates and federal budget issues, not private employer wage or benefit obligations."
hjres84-110,110,2008-05-14,International Affairs,Antisemitism|Conferences|Israel|Middle East and North Africa|Religion|Religious liberty|United Nations|United Nations finances|United Nations officials,Expressing the commitment of Congress to continue to make it a priority to fight anti-Semitism and to promote tolerance at home and abroad.,,,,"The bill addresses international affairs and anti-Semitism, with no relation to private employer wage or benefit obligations."
hr5264-110,110,2008-02-07,Foreign Trade and International Finance,Administrative fees|Africa (Sub-Saharan)|Bolivia|Caribbean area|Clothing|Colombia|Corporation taxes|Customs administration|Developing countries|Ecuador|Free trade|Income tax|Latin America|Mauritius|Peru|Tariff|Tariff preferences|Textile fabrics|Trade agreements,"To extend the Andean Trade Preference Act, and for other purposes.",Andean Trade Preference Extension Act of 2008,,,"The bill primarily addresses trade preferences and customs fees, not private employer wage or benefit obligations."
hr4915-113,113,2014-06-19,Finance and Financial Sector,"Administrative law and regulatory procedures|Business investment and capital|Financial services and investments|Higher education|Marketing and advertising|Securities|Securities and Exchange Commission (SEC)|Social work, volunteer service, charitable organizations",To clarify the definition of general solicitation under Federal securities law.,HALOS Act,,,"The bill addresses securities law and the definition of general solicitation, which does not relate to private employer wage or benefit obligations."
s2439-110,110,2007-12-10,Crime and Law Enforcement,Criminal justice information|Criminal statistics|Protection of animals,"A bill to require the National Incident Based Reporting System, the Uniform Crime Reporting Program, and the Law Enforcement National Data Exchange Program to list cruelty to animals as a separate offense category.",,,,"The bill addresses crime reporting systems and animal cruelty offenses, not private employer wage or benefit obligations."
s381-109,109,2005-02-15,Taxation,Annuities|Cost of living adjustments|Income tax|Indexing (Economic policy)|Life insurance|Tax exclusion|Tax-deferred compensation plans,A bill to amend the Internal Revenue Code of 1986 to encourage guaranteed lifetime income payments from annuities and similar payments of life insurance proceeds at dates later than death by excluding from income a portion of such payments.,Retirement Security for Life Act of 2005,,,"The bill provides a tax exclusion for annuity and life insurance payments, which does not relate to private employer wage or benefit obligations."
s2845-114,114,2016-04-25,International Affairs,"Diplomacy, foreign officials, Americans abroad|Foreign property|Human rights|Latin America|Protest and dissent|Sanctions|Venezuela|Visas and passports",A bill to extend the termination of sanctions with respect to Venezuela under the Venezuela Defense of Human Rights and Civil Society Act of 2014.,Venezuela Defense of Human Rights and Civil Society Extension Act of 2016,,,"The bill addresses international sanctions related to human rights violations in Venezuela, not private employer wage or benefit obligations."
