bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,claude_categories,claude_bill_type,claude_reason
s393-108,108,2003-02-13,Taxation,Armed forces reserves|Income tax|Military pay|Self-employed|Tax credits|Wages,"A bill to amend the Internal Revenue Code of 1986 to allow employers a credit against income tax with respect to employees who participate in the military reserve components and to allow a comparable credit for participating reserve component self-employed individuals, and for other purposes.",,1,tax_credit_introduction,"Introduces a new tax credit incentivizing private employers to retain employees who serve in military reserve components, relating to employer wage and benefit obligations during employee military service."
s1450-115,115,2017-06-28,Transportation and Public Works,Administrative law and regulatory procedures|Aviation and airports|Department of Transportation|Telephone and wireless communication,A bill to prohibit cell phone voice communications during passenger flights.,Commercial Flight Courtesy Act of 2017,,,"This bill regulates passenger behavior on commercial flights by prohibiting cell phone voice communications, which has no connection to private employer wage, hour, or benefit obligations."
hr1482-112,112,2011-04-12,Education,"Education of the disadvantaged|Education programs funding|Elementary and secondary education|Government information and archives|Minority education|Teaching, teachers, curricula","To amend the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to make grants for recruiting, training, and retaining individuals, with a preference for individuals from underrepresented groups, as teachers at public elementary and secondary schools, and for other purposes.",Diverse Teachers Recruitment Act of 2011,,,"This bill addresses teacher recruitment and training programs in public schools through federal grants to educational agencies, not private employer wage, hour, or benefit obligations."
s1410-114,114,2015-05-21,Health,"Child health|Congressional oversight|Drug therapy|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Government studies and investigations|Health programs administration and funding|Home and outpatient care|Prescription drugs|Women's health",A bill to amend the Public Health Service Act to provide grants to improve the treatment of substance use disorders.,Treatment and Recovery Investment Act,,,"This bill authorizes federal grants to state agencies, local governments, and nonprofits for substance abuse treatment programs; it does not regulate private employer wage, hour, or benefit obligations."
hr610-113,113,2013-02-12,Health,Advisory bodies|Health programs administration and funding|Infectious and parasitic diseases,To provide for the establishment of the Tick-Borne Diseases Advisory Committee.,,,,"This bill establishes an advisory committee for tick-borne disease policy coordination within HHS and does not regulate private employer wage, hour, benefit obligations, or introduce related tax incentives."
hr1449-114,114,2015-03-18,Crime and Law Enforcement,Administrative law and regulatory procedures|Appropriations|Business records|Criminal justice information and records|Department of Justice|Firearms and explosives|Freedom of information|Retail and wholesale trades,To repeal certain impediments to the administration of the firearms laws.,Tiahrt Restrictions Repeal Act,,,"This bill addresses firearms regulation and law enforcement database management, which does not relate to private employer wage, hour, or benefit obligations."
hr5260-108,108,2004-10-07,Armed Forces and National Security,Federal advisory bodies|Government and business|Public-private partnerships|Small business|Veterans' benefits|Veterans' employment,"To extend the life of the Advisory Committee on Veterans Business Affairs until September 30, 2006.",,,,"Bill extends the life of a federal advisory committee on veterans' business affairs; it does not regulate private employer wage, hour, or benefit obligations."
hr3544-108,108,2003-11-20,Public Lands and Natural Resources,"Coastal zone|Commemorations|Congressional reporting requirements|Governmental investigations|Hawaii|Marine and coastal resources, fisheries|National monuments|National parks|National recreation areas|National seashores|Natural areas","To direct the Secretary of the Interior to study the suitability and feasibility of designating certain lands along the southern coast of Maui, Hawaii, as a unit of the National Park System.",South Maui Coastal Preservation Act of 2003,,,"This bill directs a feasibility study for designating coastal lands in Hawaii as a National Park System unit, which relates to public lands management and environmental preservation, not private employer wage, hour, or benefit obligations."
hr4287-114,114,2015-12-17,Taxation,Sales and excise taxes|State and local taxation|Telephone and wireless communication,"To restrict any State or local jurisdiction from imposing a new discriminatory tax on cell phone services, providers, or property.",Wireless Tax Fairness Act of 2015,,,"This bill addresses state and local taxation of wireless telecommunications services and providers, not private employer obligations related to wages, hours, benefits, or protected leave."
s2191-112,112,2012-03-14,"Civil Rights and Liberties, Minority Issues",Administrative law and regulatory procedures|Department of Justice|Disability and health-based discrimination|Sports and recreation facilities,A bill to amend the Americans with Disabilities Act of 1990 to prohibit the Attorney General from administering or enforcing certain accessibility regulations relating to pools at public accommodations or provided by public entities.,,,,"This bill addresses ADA accessibility regulations for pools at public accommodations and public entities, which relates to disability discrimination rather than employer wage, hour, or benefit obligations."
hr3896-109,109,2005-09-26,Government Operations and Politics,Alabama|Block grants|Citizen participation|Community development|Disaster relief|Displaced persons|Evacuation of civilians|Floods|Hurricane aftermath legislation|Hurricanes|Infrastructure|Louisiana|Mississippi|Municipal services|Public meetings|Urban affairs,"To temporarily suspend, for communities affected by Hurricane Katrina or Hurricane Rita, certain requirements under the community development block grant program.",Hurricane Katrina Emergency Relief CDBG Flexibility Act of 2005,,,"This bill suspends certain administrative requirements for community development block grants in hurricane-affected areas; it does not regulate private employer wage, hour, or benefit obligations."
